ID,Estimated Speedup [%],Function Name,Demangled Name,Duration [us],Runtime Improvement [us],Compute Throughput [%],Memory Throughput [%],# Registers [register/thread],Grid Size,Block Size [block]
349,50.00,square_kernel,square_kernel,14.05,7.02,7.63,93.70,18,"  512,    1,    1","  128,    1,    1"
367,50.00,square_kernel,square_kernel,14.59,7.30,7.64,94.64,18,"  512,    1,    1","  128,    1,    1"
434,50.00,square_kernel,square_kernel,14.14,7.07,7.64,93.45,18,"  512,    1,    1","  128,    1,    1"
357,50.00,square_kernel,square_kernel,14.69,7.34,7.64,91.79,18,"  512,    1,    1","  128,    1,    1"
396,50.00,square_kernel,square_kernel,14.43,7.22,7.64,94.13,18,"  512,    1,    1","  128,    1,    1"
352,50.00,square_kernel,square_kernel,14.08,7.04,7.64,91.03,18,"  512,    1,    1","  128,    1,    1"
362,50.00,square_kernel,square_kernel,14.02,7.01,7.64,92.65,18,"  512,    1,    1","  128,    1,    1"
436,50.00,square_kernel,square_kernel,14.05,7.02,7.64,92.19,18,"  512,    1,    1","  128,    1,    1"
372,50.00,square_kernel,square_kernel,14.21,7.10,7.65,91.43,18,"  512,    1,    1","  128,    1,    1"
383,50.00,square_kernel,square_kernel,14.56,7.28,7.65,93.29,18,"  512,    1,    1","  128,    1,    1"
442,50.00,square_kernel,square_kernel,14.05,7.02,7.65,92.73,18,"  512,    1,    1","  128,    1,    1"
417,50.00,square_kernel,square_kernel,14.40,7.20,7.66,91.82,18,"  512,    1,    1","  128,    1,    1"
334,50.00,square_kernel,square_kernel,14.08,7.04,7.66,93.91,18,"  512,    1,    1","  128,    1,    1"
335,50.00,square_kernel,square_kernel,14.30,7.15,7.66,90.71,18,"  512,    1,    1","  128,    1,    1"
437,50.00,square_kernel,square_kernel,14.94,7.47,7.66,91.08,18,"  512,    1,    1","  128,    1,    1"
428,50.00,square_kernel,square_kernel,14.37,7.18,7.67,95.00,18,"  512,    1,    1","  128,    1,    1"
404,50.00,square_kernel,square_kernel,14.34,7.17,7.67,91.40,18,"  512,    1,    1","  128,    1,    1"
406,50.00,square_kernel,square_kernel,14.34,7.17,7.67,91.73,18,"  512,    1,    1","  128,    1,    1"
407,50.00,square_kernel,square_kernel,14.53,7.26,7.68,93.00,18,"  512,    1,    1","  128,    1,    1"
432,50.00,square_kernel,square_kernel,14.62,7.31,7.68,92.97,18,"  512,    1,    1","  128,    1,    1"
360,50.00,square_kernel,square_kernel,14.30,7.15,7.68,89.73,18,"  512,    1,    1","  128,    1,    1"
403,50.00,square_kernel,square_kernel,14.05,7.02,7.68,90.23,18,"  512,    1,    1","  128,    1,    1"
420,50.00,square_kernel,square_kernel,14.08,7.04,7.68,91.25,18,"  512,    1,    1","  128,    1,    1"
347,50.00,square_kernel,square_kernel,14.14,7.07,7.70,93.57,18,"  512,    1,    1","  128,    1,    1"
389,50.00,square_kernel,square_kernel,14.78,7.39,7.70,92.39,18,"  512,    1,    1","  128,    1,    1"
414,50.00,square_kernel,square_kernel,14.66,7.33,7.70,93.37,18,"  512,    1,    1","  128,    1,    1"
412,50.00,square_kernel,square_kernel,14.18,7.09,7.70,91.05,18,"  512,    1,    1","  128,    1,    1"
346,50.00,square_kernel,square_kernel,14.21,7.10,7.70,93.62,18,"  512,    1,    1","  128,    1,    1"
402,50.00,square_kernel,square_kernel,14.18,7.09,7.71,91.25,18,"  512,    1,    1","  128,    1,    1"
405,50.00,square_kernel,square_kernel,14.24,7.12,7.71,92.61,18,"  512,    1,    1","  128,    1,    1"
378,50.00,square_kernel,square_kernel,14.43,7.22,7.71,90.98,18,"  512,    1,    1","  128,    1,    1"
351,50.00,square_kernel,square_kernel,14.24,7.12,7.71,92.07,18,"  512,    1,    1","  128,    1,    1"
390,50.00,square_kernel,square_kernel,13.98,6.99,7.71,91.80,18,"  512,    1,    1","  128,    1,    1"
